0,TAMIL_SECTION,TAMIL_SUBDIVISION,TAMIL_CHAPTERS,TAMIL_VERSE,TAMIL_VERSE_SEGMENT_001,TAMIL_VERSE_SEGMENT_002,TAMIL_EXPLANATION,ENGLISH_SECTION,ENGLISH_SUBDIVISION,ENGLISH_CHAPTERS,ENGLISH_VERSE,ENGLISH_VERSE_SEGMENT_001,ENGLISH_VERSE_SEGMENT_002,ENGLISH_EXPLANATION
214,அறத்துப்பால்,இல்லறவியல்,ஒப்புரவறிதல்,ஒத்த தறிவான் உயிர்வாழ்வான் மற்றையான் செத்தாருள் வைக்கப் படும்,,,"ஒப்புரவை அறிந்து போற்றிப் பிறர்க்கு உதவியாக வாழ்கின்றவன் உயிர்வாழ்கின்றவன் ஆவான், மற்றவன் செத்தவருள் சேர்த்துக் கருதப்படுவான்.",VIRTUE,Domestic Virtue,The knowledge of what is Befitting a Man's Position,"One who is aligned to the right ways of the world, lives amongst the alive;
 the others are placed amongst the dead.",,,"Who knows what's human life's befitting grace,
 He lives; the rest 'mongst dead men have their place.
 He truly lives who knows (and discharges) the proper duties (of benevolence). He who knows the m not will be reckoned among the dead."
215,அறத்துப்பால்,இல்லறவியல்,ஒப்புரவறிதல்,ஊருணி நீர்நிறைந் தற்றே உலகவாம் பேரறி வாளன் திரு,,,"ஒப்புரவினால் உலகம் வாழுமாறு விரும்பும் பேரறிவாளியின் செல்வம், ஊரார் நீருண்ணும் குளம் நீரால் நிறைந்தாற் போன்றது.",VIRTUE,Domestic Virtue,The knowledge of what is Befitting a Man's Position,"The wealth of the wise one who loves, and is loved by, the world,
 is like a public pond brimming with water.",,,"The wealth of men who love the 'fitting way,' the truly wise,
 Is as when water fills the lake that village needs supplies.
 The wealth of that man of eminent knowledge who desires to exercise the benevolence approved of by the world, is like the full waters of a city-tank."
216,அறத்துப்பால்,இல்லறவியல்,ஒப்புரவறிதல்,பயன்மரம் உள்ளூர்ப் பழுத்தற்றால் செல்வம் நயனுடை யான்கண் படின்,,,ஒப்புராவாகிய நற்பண்பு உடையவனிடம் செல்வம் சேர்ந்தால் அஃது ஊரின் நடுவே உள்ள பயன் மிகுந்த மரம் பழங்கள் பழுத்தாற் போன்றது.,VIRTUE,Domestic Virtue,The knowledge of what is Befitting a Man's Position,"Riches falling upon the benevolent, resemble
 a ripe tree laden with fruits, in the middle of a village.",,,"A tree that fruits in th' hamlet's central mart,
 Is wealth that falls to men of liberal heart.
 The wealth of a man (possessed of the virtue) of benevolence is like the ripening of a fruitful tree in the midst of a town."
217,அறத்துப்பால்,இல்லறவியல்,ஒப்புரவறிதல்,மருந்தாகித் தப்பா மரத்தற்றால் செல்வம் பெருந்தகை யான்கண் படின்,,,ஒப்புரவாகிய பெருந்தகைமை உடையவனிடத்து செல்வம் சேர்ந்தால் அஃது எல்லா உறுப்புகளுக்கும் மருந்தாகிப் பயன்படத் தவறாத மரம் போன்றது.,VIRTUE,Domestic Virtue,The knowledge of what is Befitting a Man's Position,"Riches falling upon a person of great qualities, resemble
 an unfailing herbal tree that is a source of medicines.",,,"Unfailing tree that healing balm distils from every part,
 Is ample wealth that falls to him of large and noble heart.
 If wealth be in the possession of a man who has the great excellence (of benevolence), it is like a tree which as a medicine is an infallible cure for disease."
218,அறத்துப்பால்,இல்லறவியல்,ஒப்புரவறிதல்,இடனில் பருவத்தும் ஒப்புரவிற் கொல்கார் கடனறி காட்சி யவர்,,,"ஒப்புரவு அறிந்து ஒழுதலாகியத் தன் கடமை அறிந்த அறிவை உடையவர், செல்வ வளம் இல்லாத காலத்திலும் ஒப்புரவுக்குத் தளர மாட்டார்.",VIRTUE,Domestic Virtue,The knowledge of what is Befitting a Man's Position,"Even in times of distress, those who dont shy away from beneficence,
 have clear vision of their moral responsibilities.",,,"E'en when resources fall, they weary not of 'kindness due,'-
 They to whom Duty's self appears in vision true.
 The wise who know what is duty will not scant their benevolence even when they are without wealth."
219,அறத்துப்பால்,இல்லறவியல்,ஒப்புரவறிதல்,நயனுடையான் நல்கூர்ந்தா னாதல் செயும்நீர செய்யா தமைகலா வாறு,,,"ஒப்புரவாகிய நற்பண்பு உடையவன் வறுமை உடையவனாதல், செய்யத்தக்க உதவிகளைச் செய்யாமல் வருந்துகின்ற தன்மையாகும்.",VIRTUE,Domestic Virtue,The knowledge of what is Befitting a Man's Position,"A benevolent person turns poor when he laments his inability
 to do the good deeds he is used to doing.",,,"The kindly-hearted man is poor in this alone,
 When power of doing deeds of goodness he finds none.
 The poverty of a benevolent man, is nothing but his inability to exercise the same."
220,அறத்துப்பால்,இல்லறவியல்,ஒப்புரவறிதல்,ஒப்புரவி னால்வருங் கேடெனின் அஃதொருவன் விற்றுக்கோள் தக்க துடைத்து,,,ஒப்புரவால் கேடு வரும் என்றால் அக் கேடு ஒருவன் தன்னை விற்றாவது வாங்கிக்கொள்ளும் தகுதி உடையதாகும்.,VIRTUE,Domestic Virtue,The knowledge of what is Befitting a Man's Position,"What harm can come out of beneficence? Such harm
 deserves to be bought even by selling oneself.",,,"Though by 'beneficence,' the loss of all should come,
 'Twere meet man sold himself, and bought it with the sum.
 If it be said that loss will result from benevolence, such loss is worth being procured even by the sale of one's self."
221,அறத்துப்பால்,இல்லறவியல்,ஈகை,வறியார்க்கொன் றீவதே ஈகைமற் றெல்லாங் குறியெதிர்ப்பை நீர துடைத்து,,,"வறியவர்க்கு ஒரு பொருளைக் கொடுப்பதே ஈகை எனப்படுவது, மற்றவர்க்குக் கொடுப்பதெல்லாம் பயன் எதிர்பார்த்து கொடுக்கும் தன்மை உடையது",VIRTUE,Domestic Virtue,Giving,"Giving to the poor is charity; all else
 have the quality of anticipating a return.",,,"Call that a gift to needy men thou dost dispense,
 All else is void of good, seeking for recompense.
 To give to the destitute is true charity. All other gifts have the nature of (what is done for) a measured return."
222,அறத்துப்பால்,இல்லறவியல்,ஈகை,நல்லா றெனினுங் கொளல்தீது மேலுலகம் இல்லெனினும் ஈதலே நன்று,,,"பிறரிடம் பொருள் பெற்றுக் கொள்ளுதல் நல்ல நெறி என்றாலும் கொள்ளல் தீமையானது, மேலுலகம் இல்லை என்றாலும் பிறக்குக் கொடுப்பதே சிறந்தது.",VIRTUE,Domestic Virtue,Giving,"To receive is a vice, even if it is accepted as a good virtue;
 to give, is good, even if the heaven is denied.",,,"Though men declare it heavenward path, yet to receive is ill;
 Though upper heaven were not, to give is virtue still.
 To beg is evil, even though it were said that it is a good path (to heaven). To give is good, even though it were said that those who do so cannot obtain heaven."
223,அறத்துப்பால்,இல்லறவியல்,ஈகை,இலனென்னும் எவ்வம் உரையாமை ஈதல் குலனுடையான் கண்ணே யுள,,,யான் வறியவன் என்னும் துன்பச் சொல்லை ஒருவன் உரைப்பத,VIRTUE,Domestic Virtue,Giving,"Charity, without mention of the distress of poverty, is present
 only in those from a good family.",,,"I've nought' is ne'er the high-born man's reply;
 He gives to those who raise themselves that cry.
 (Even in a low state) not to adopt the mean expedient of saying ""I have nothing,"" but to give, is the characteristic of the mad of noble birth."
224,அறத்துப்பால்,இல்லறவியல்,ஈகை,இன்னா திரக்கப் படுதல் இரந்தவர் இன்முகங் காணு மளவு,,,பொருள் வேண்டும் என்ற இரந்தவரின் மகிழ்ந்த முகத்தைக் காணும் வரைக்கும் (இரத்தலைப் போலவே ) இரந்து கேட்கப்படுவதும் துன்பமானது.,VIRTUE,Domestic Virtue,Giving,"To be asked to give is bitter too, until seeing
 the smiling face of the recipient.",,,"The suppliants' cry for aid yields scant delight,
 Until you see his face with grateful gladness bright.
 To see men begging from us in disagreeable, until we see their pleasant countenance."
225,அறத்துப்பால்,இல்லறவியல்,ஈகை,ஆற்றுவா ராற்றல் பசியாற்றல் அப்பசியை மாற்றுவா ராற்றலிற் பின்,,,"தவ வலிமை உடையவரின் வலிமை பசியை பொறுத்துக் கொள்ளலாகும், அதுவும் அப் பசியை உணவு கொடுத்து மாற்றுகின்றவரின் ஆற்றலுக்குப் பிற்பட்டதாகும்.",VIRTUE,Domestic Virtue,Giving,"The strength of the strongest is to endure hunger;
 it trails the ability to eradicate that hunger.",,,"Mid devotees they're great who hunger's pangs sustain,
 Who hunger's pangs relieve a higher merit gain.
 The power of those who perform penance is the power of enduring hunger. It is inferior to the power of those who remove the hunger (of others)."
226,அறத்துப்பால்,இல்லறவியல்,ஈகை,அற்றார் அழிபசி தீர்த்தல் அஃதொருவன் பெற்றான் பொருள்வைப் புழி,,,வறியவரின் கடும்பசியைத் தீர்க்க வேண்டும் அதுவே பொருள் பெற்ற ஒருவன் அப் பொருளைத் தனக்குப் பிற்காலத்தில் உதவுமாறு சேர்த்து வைக்கும் இடமாகும்.,VIRTUE,Domestic Virtue,Giving,"To douse the destructive hunger of the destitute, is
 the safe to store the riches of the rich.",,,"Let man relieve the wasting hunger men endure;
 For treasure gained thus finds he treasure-house secure.
 The removal of the killing hunger of the poor is the place for one to lay up his wealth"
227,அறத்துப்பால்,இல்லறவியல்,ஈகை,பாத்தூண் மரீஇ யவனைப் பசியென்னுந் தீப்பிணி தீண்ட லரிது,,,தான் பெற்ற உணவை பலரோடும் பகிர்ந்து உண்ணும் பழக்கம் உடையவனை பசி என்று கூறப்படும் தீயநோய் அணுகுதல் இல்லை.,VIRTUE,Domestic Virtue,Giving,"Hunger, the deadly disease, never touches one who is
 accustomed to share his food with others.",,,"Whose soul delights with hungry men to share his meal,
 The hand of hunger's sickness sore shall never feel.
 The fiery disease of hunger shall never touch him who habitually distributes his food to others."
228,அறத்துப்பால்,இல்லறவியல்,ஈகை,ஈத்துவக்கும் இன்பம் அறியார்கொல் தாமுடைமை வைத்திழக்கும் வன்க ணவர்,,,"தாம் சேர்த்து வைத்துள்ள பொருளைப் பிறருக்குக் கொடுக்காமல் வைத்திருந்து பின் இழந்து விடும் வன் கண்மை உடையவர், பிறர்க்கு கொடுத்து மகிழும் மகிழ்ச்சியை அறியாரோ.",VIRTUE,Domestic Virtue,Giving,"Do they not know to enjoy the joy of giving, those loveless people,
 who keep their wealth only to lose it.",,,"Delight of glad'ning human hearts with gifts do they not know.
 Men of unpitying eye, who hoard their wealth and lose it so?
 Do the hard-eyed who lay up and lose their possessions not know the happiness which springs from the pleasure of giving ?"
229,அறத்துப்பால்,இல்லறவியல்,ஈகை,இரத்தலின் இன்னாது மன்ற நிரப்பிய தாமே தமிய ருணல்,,,பொருளின் குறைபாட்டை நிரப்புவதற்க்காக உள்ளதைப் பிறர்க்கு ஈயாமல் தாமே தமியராய் உண்பது வறுமையால் இறப்பதை விடத் துன்பமானது,VIRTUE,Domestic Virtue,Giving,"Eating alone to increase one’s accumulated wealth,
 is more distressing than begging.",,,"They keep their garners full, for self alone the board they spread;-
 'Tis greater pain, be sure, than begging daily bread!
 Solitary and unshared eating for the sake of filling up one's own riches is certainly much more unpleasant than begging."
230,அறத்துப்பால்,இல்லறவியல்,ஈகை,சாதலின் இன்னாத தில்லை இனிததூஉம் ஈத லியையாக் கடை,,,"சாவதை விடத் துன்பமானது வேறொன்றும் இல்லை, ஆனால் வறியவர்க்கு ஒரு பொருள் கொடுக்க முடியாதநிலை வந்தபோது அச் சாதலும் இனியதே ஆகும்.",VIRTUE,Domestic Virtue,Giving,"There is nothing more harrowing than death; that too seems sweet,
 if one is unable to give a thing to the needy.",,,"Tis bitter pain to die, 'Tis worse to live.
 For him who nothing finds to give!
 Nothing is more unpleasant than death: yet even that is pleasant where charity cannot be exercised."
231,அறத்துப்பால்,இல்லறவியல்,புகழ்,ஈத லிசைபட வாழ்தல் அதுவல்ல தூதிய மில்லை உயிர்க்கு,,,"வறியவர்க்கு ஈதல் வேண்டும் அதனால் புகழ் உண்டாக வாழ வேண்டும், அப் புகழ் அல்லாமல் உயிர்க்கு ஊதியமானது வேறொன்றும் இல்லை.",VIRTUE,Domestic Virtue,Renown,"Give, and live with fame; there is
 no other gain for lives.",,,"See that thy life the praise of generous gifts obtain;
 Save this for living man exists no real gain.
 Give to the poor and live with praise. There is no greater profit to man than that."
232,அறத்துப்பால்,இல்லறவியல்,புகழ்,உரைப்பா ருரைப்பவை யெல்லாம் இரப்பார்க்கொன் றீவார்மேல் நிற்கும் புகழ்,,,புகழ்ந்து சொல்கின்றவர் சொல்பவை எல்லாம் வறுமையால் இரப்பவர்க்கு ஒரு பொருள் கொடுத்து உதவுகின்றவரின் மேல் நிற்கின்ற புகழேயாகும்.,VIRTUE,Domestic Virtue,Renown,"All that chroniclers chronicle, is the renown that rests
 on those who give to the needy.",,,"The speech of all that speak agrees to crown
 The men that give to those that ask, with fair renown.
 Whatsoever is spoken in the world will abide as praise upon that man who gives alms to the poor."
233,அறத்துப்பால்,இல்லறவியல்,புகழ்,ஒன்றா உலகத் துயர்ந்த புகழல்லாற் பொன்றாது நிற்பதொன் றில்,,,உயர்ந்த புகழ் அல்லாமல் உலகத்தில் ஒப்பற்ற ஒரு பொருளாக அழியாமல் நிலைநிற்க வல்லது வேறொன்றும் இல்லை.,VIRTUE,Domestic Virtue,Renown,"Those who praise, praise and sign paeans, on the renown that rests
 on those who give to the needy.",,,"Save praise alone that soars on high,
 Nought lives on earth that shall not die.
 There is nothing that stands forth in the world imperishable, except fame, exalted in solitary greatness."
234,அறத்துப்பால்,இல்லறவியல்,புகழ்,நிலவரை நீள்புகழ் ஆற்றின் புலவரைப் போற்றாது புத்தே ளுலகு,,,"நிலவுலகின் எல்லையில் நெடுங்காலம் நிற்கவல்ல புகழைச் செய்தால், வானுலகம் (அவ்வாறு புகழ் செய்தாரைப் போற்றுமே அல்லாமல்) தேவரைப் போற்றாது..",VIRTUE,Domestic Virtue,Renown,"The world of devas, will cease to praise pure scholars, if one,
 through his deeds across this world, earns everlasting fame.",,,"If men do virtuous deeds by world-wide ample glory crowned,
 The heavens will cease to laud the sage for other gifts renowned.
 If one has acquired extensive fame within the limits of this earth, the world of the Gods will no longer praise those sages who have attained that world."
235,அறத்துப்பால்,இல்லறவியல்,புகழ்,நத்தம்போல் கேடும் உளதாகுஞ் சாக்காடும் வித்தகர்க் கல்லால் அரிது,,,"புகழுடம்பு மேம்படுதலாகும் வாழ்வில் கேடும், புகழ் நிலை நிற்பதாகும் சாவும் அறிவில் சிறந்தவர்க்கு அல்லாமல் மற்றவர்க்கு இல்லை.",VIRTUE,Domestic Virtue,Renown,"Growth (of fame) amidst adverstiy and survival (of name) after death,
 are possible only for the smartest.",,,"Loss that is gain, and death of life's true bliss fulfilled,
 Are fruits which only wisdom rare can yield.
 Prosperity to the body of fame, resulting in poverty to the body of flesh and the stability to the former arising from the death of the latter, are achievable only by the wise."
236,அறத்துப்பால்,இல்லறவியல்,புகழ்,தோன்றின் புகழோடு தோன்றுக அஃதிலார் தோன்றலின் தோன்றாமை நன்று,,,"ஒரு துறையில் முற்பட்டுத் தோன்றுவதானால் புகழோடு தோன்ற வேண்டும், அத்தகைய சிறப்பு இல்லாதவர் அங்குத் தோன்றுவதைவிடத் தோன்றாமலிருப்பதே நல்லது.",VIRTUE,Domestic Virtue,Renown,"Appear with fame, if you must appear; if not,
 it is better not to appear than appear.",,,"If man you walk the stage, appear adorned with glory's grace;
 Save glorious you can shine, 'twere better hide your face.
 If you are born (in this world), be born with qualities conductive to fame. From those who are destitute of them it will be better not to be born."
237,அறத்துப்பால்,இல்லறவியல்,புகழ்,புகழ்பட வாழாதார் தந்நோவார் தம்மை இகழ்வாரை நோவ தெவன்,,,தமக்குப் புகழ் உண்டாகுமாறு வாழமுடியாதவர் தம்மைத் தாம் நொந்து கொள்ளாமல் தம்மை இகழ்கின்றவரை நொந்து கொள்ளக் காரணம் என்ன?,VIRTUE,Domestic Virtue,Renown,"Why do those, who live with no fame, instead of blaming themselves,
 blame those who revile them.",,,"If you your days will spend devoid of goodly fame,
 When men despise, why blame them? You've yourself to blame.
 Why do those who cannot live with praise, grieve those who despise them, instead of grieving themselves for their own inability."
238,அறத்துப்பால்,இல்லறவியல்,புகழ்,வசையென்ப வையத்தார்க் கெல்லாம் இசையென்னும் எச்சம் பெறாஅ விடின்,,,தமக்குப் பின் எஞ்சி நிற்பதாகியப் புகழைப் பெறாவிட்டால் உலகத்தார் எல்லார்க்கும் அத்தகைய வாழ்க்கை பழி என்று சொல்லுவர்.,VIRTUE,Domestic Virtue,Renown,"Reproach will remain for those who, with no fame,
 have no legacy to leave behind.",,,"Fame is virtue's child, they say; if, then,
 You childless live, you live the scorn of men.
 Not to beget fame will be esteemed a disgrace by the wise in this world."
239,அறத்துப்பால்,இல்லறவியல்,புகழ்,வசையிலா வண்பயன் குன்றும் இசையிலா யாக்கை பொறுத்த நிலம்,,,"புகழ் பெறாமல் வாழ்வைக் கழித்தவருடைய உடம்பைச் சுமந்த நிலம், வசையற்ற வளமான பயனாகிய விளைவு இல்லாமல் குன்றிவிடும்.",VIRTUE,Domestic Virtue,Renown,"The unblemished, fertile yield will diminish for the land
 that bears a body with no repute.",,,"The blameless fruits of fields' increase will dwindle down,
 If earth the burthen bear of men without renown.
 The ground which supports a body without fame will diminish in its rich produce."
240,அறத்துப்பால்,இல்லறவியல்,புகழ்,வசையொழிய வாழ்வாரே வாழ்வார் இசையொழிய வாழ்வாரே வாழா தவர்,,,"தாம் வாழும் வாழ்க்கையில் பழி உண்டாகாமல் வாழ்கின்றவரே உயிர் வாழ்கின்றவர், புகழ் உண்டாகாமல் வாழ்கின்றவரே உயிர் வாழாதவர்.",VIRTUE,Domestic Virtue,Renown,"Those who lead a life free of blame, are alive;
 those who live devoid of fame, are not alive.",,,"Who live without reproach, them living men we deem;
 Who live without renown, live not, though living men they seem.
 Those live who live without disgrace. Those who live without fame live not."
241,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,அருட்செல்வஞ் செல்வத்துள் செல்வம் பொருட்செல்வம் பூரியார் கண்ணு முள,,,பொருள்களாகிய செல்வங்கள் இழிந்தவரிடத்திலும் உள்ளன; (உயர்ந்தவரிடத்தில் மட்டுமே உள்ள) அருளாகிய செல்வமே செல்வங்களில் சிறந்த செல்வமாகும்.,VIRTUE,Ascetic Virtue,The Possession of Benevolence,"The gains of compassion are most precious; material wealth is
 possessed even by the despicable.",,,"Wealth 'mid wealth is wealth 'kindliness';
 Wealth of goods the vilest too possess.
 The wealth of kindness is wealth of wealth, in as much as the wealth of property is possessed by the basest of men."
242,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,நல்லாற்றான் நாடி யருளாள்க பல்லாற்றால் தேரினும் அஃதே துணை,,,நல்ல வழியால் ஆராய்ந்து அருளுடையவர்களாக விளங்க வேண்டும்; பலவழிகளால் ஆராய்ந்து கண்டாலும் அருளே வாழ்க்கைக்குத் துணையாக இருக்கும்.,VIRTUE,Ascetic Virtue,The Possession of Benevolence,Pursue the virtuous path and have compassion; all spiritual quests lead to this companion.,,,"The law of 'grace' fulfil, by methods good due trial made,
 Though many systems you explore, this is your only aid.
 (Stand) in the good path, consider, and be kind. Even considering according to the conflicting tenets of the different sects, kindness will be your best aid, (in the acquisition of heavenly bliss.)"
243,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,அருள்சேர்ந்த நெஞ்சினார்க் கில்லை இருள்சேர்ந்த இன்னா உலகம் புகல்,,,"அறியாமையாகிய இருள் பொருந்திய துன்ப உலகில் இருந்து வாழும் வாழ்க்கை, அருள் பொருந்திய நெஞ்சம் உடையவர்களுக்கு இல்லை.",VIRTUE,Ascetic Virtue,The Possession of Benevolence,Those with their hearts filled with compassion will never enter a woeful world of darkness.,,,"They in whose breast a 'gracious kindliness' resides,
 See not the gruesome world, where darkness drear abides.
 They will never enter the world of darkness and wretchedness whose minds are the abode of kindness."
244,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,மன்னுயி ரோம்பி அருளாள்வாற் கில்லென்ப தன்னுயி ரஞ்சும் வினை,,,"தன் உயிரின் பொருட்டு அஞ்சி வாழ்கின்ற தீவினை, உலகில் நிலைபெற்றுள்ள மற்ற உயிர்களைப் போற்றி அருளுடையவனாக இருப்பவனுக்கு இல்லை",VIRTUE,Ascetic Virtue,The Possession of Benevolence,"The compassionate, who care for all other lives,
 do not fear for their own lives.",,,"Who for undying souls of men provides with gracious zeal,
 In his own soul the dreaded guilt of sin shall never feel.
 (The wise) say that the evils, which his soul would dread, will never come upon the man who exercises kindness and protects the life (of other creatures)"
245,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,அல்லல் அருளாள்வார்க் கில்லை வளிவழங்கு மல்லன்மா ஞாலங் கரி,,,"அருளுடையவராக வாழ்கின்றவர்களுக்குத் துன்பம் இல்லை, காற்று இயங்குகின்ற வளம் பெரிய உலகத்தில் வாழ்வோரே இதற்குச் சான்று ஆவர்.",VIRTUE,Ascetic Virtue,The Possession of Benevolence,"The fertile world which endows us with breathing air illustrates that
 there is no sorrow for the compassionate.",,,"The teeming earth's vast realm, round which the wild winds blow,
 Is witness, men of ' grace' no woeful want shall know.
 This great rich earth over which the wind blows, is a witness that sorrow never comes upon the kind-hearted."
246,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,பொருள்நீங்கிப் பொச்சாந்தா ரென்பர் அருள்நீங்கி அல்லவை செய்தொழுகு வார்,,,"அருள் இல்லாதவராய் அறமல்லாதவைகளைச் செய்து நடப்பவர்களை, உறுதிப்பொருளாகிய அறத்திலிருந்து நீங்கித் தம் வாழ்க்கையின் குறிக்கோளை மறந்தவர் என்பார்.",VIRTUE,Ascetic Virtue,The Possession of Benevolence,"Those who do evil, abandoning compassion, must have forsaken
 and forgotten the meaning of life.",,,"Gain of true wealth oblivious they eschew,
 Who 'grace' forsake, and graceless actions do.
 (The wise) say that those who neglect kindness and practise cruelties, neglected virtue (in their former birth), and forgot (the sorrows which they must suffer.)"
247,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,அருளில்லார்க் கவ்வுலகம் இல்லை பொருளில்லார்க் கிவ்வுலகம் இல்லாகி யாங்கு,,,பொருள் இல்லாதவர்க்கு இவ்வுலகத்து வாழ்க்கை இல்லாதவாறு போல உயிர்களிடத்தில் அருள் இல்லாதவர்க்கு அவ்வுலகத்து வாழ்க்கை இல்லையாம்.,VIRTUE,Ascetic Virtue,The Possession of Benevolence,"The poor do not possess this world; likewise, the uncompassionate do not inhabit the other world.",,,"As to impoverished men this present world is not;
 The 'graceless' in you world have neither part nor lot.
 As this world is not for those who are without wealth, so that world is not for those who are without kindness."
248,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,பொருளற்றார் பூப்ப ரொருகால் அருளற்றார் அற்றார்மற் றாதல் அரிது,,,"பொருள் இல்லாதவர் ஒரு காலத்தில் வளம் பெற்று விளங்குவர், அருள் இல்லாதவர் வாழ்க்கையின் பயம் அற்றவரே அவர் ஒரு காலத்திலும் சிறந்து விளங்குதல் இல்லை.",VIRTUE,Ascetic Virtue,The Possession of Benevolence,"Those who lack wealth may, one day, bloom; those who lack compassion
 are incorrigible, and are forever, doomed.",,,"Who lose the flower of wealth, when seasons change, again may bloom;
 Who lose 'benevolence', lose all; nothing can change their doom.
 Those who are without wealth may, at some future time, become prosperous; those who are destitute of kindness are utterly destitute; for them there is no change."
249,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,தெருளாதான் மெய்ப்பொருள் கண்டற்றால் தேரின் அருளாதான் செய்யும் அறம்,,,"அருள் மேற்கொள்ளாதவன் செய்கின்ற அறச்செயலை ஆராய்ந்தால், அஃது அறிவு தெளியாதவன் ஒரு நூலின் உண்மைப் பொருளைக் கண்டாற் போன்றது.",VIRTUE,Ascetic Virtue,The Possession of Benevolence,"The uncompassionate doing a righteous deed is like
 the unwise finding true enlightenment.",,,"When souls unwise true wisdom's mystic vision see,
 The 'graceless' man may work true works of charity.
 If you consider, the virtue of him who is without kindness is like the perception of the true being by him who is without wisdom."
250,அறத்துப்பால்,துறவறவியல்,அருளுடைமை,வலியார்முன் தன்னை நினைக்கதான் தன்னின் மெலியார்மேற் செல்லு மிடத்து,,,"அருள் இல்லாதவன் ) தன்னை விட மெலிந்தவர் மேல் துன்புறுத்த செல்லும் போது, தன்னை விட வலியவரின் முன் தான் அஞ்சி நிற்கும் நிலைமையை நினைக்க வேண்டும்.",VIRTUE,Ascetic Virtue,The Possession of Benevolence,"When you confront those meeker than you, think of
 yourself in front of a stronger person.",,,"When weaker men you front with threat'ning brow,
 Think how you felt in presence of some stronger foe.
 When a man is about to rush upon those who are weaker than himself, let him remember how he has stood (trembling) before those who are stronger than himself."
251,அறத்துப்பால்,துறவறவியல்,புலால் மறுத்தல்,தன்னூன் பெருக்கற்குத் தான்பிறி தூனுண்பான் எங்ஙனம் ஆளும் அருள்,,,தன் உடம்பைப் பெருக்கச் செய்வதற்காகத் தான் மற்றோர் உயிரின் உடம்பைத் தின்கின்றவன் எவ்வாறு அருளுடையவனாக இருக்க முடியும்.,VIRTUE,Ascetic Virtue,The Renunciation of Flesh,"How can someone possess kindness, if one eats meat
 from another body to grow one’s own body?",,,"How can the wont of 'kindly grace' to him be known,
 Who other creatures' flesh consumes to feed his own?
 How can he be possessed of kindness, who to increase his own flesh, eats the flesh of other creatures."
252,அறத்துப்பால்,துறவறவியல்,புலால் மறுத்தல்,பொருளாட்சி போற்றாதார்க் கில்லை அருளாட்சி ஆங்கில்லை ஊன்றின் பவர்க்கு,,,"பொருளுடையவராக இருக்கும் சிறப்பு அப்பொருளை வைத்துக் காப்பாற்றாதவர்க்கு இல்லை, அருளுடையவராக இருக்கும் சிறப்பு புலால் தின்பவர்க்கு இல்லை.",VIRTUE,Ascetic Virtue,The Renunciation of Flesh,"One, who doesn’t value money can’t be wealthy;
 one, who eats meat, can’t be compassionate.",,,"No use of wealth have they who guard not their estate;
 No use of grace have they with flesh who hunger sate.
 As those possess no property who do not take care of it, so those possess no kindness who feed on flesh."
253,அறத்துப்பால்,துறவறவியல்,புலால் மறுத்தல்,படைகொண்டார் நெஞ்சம்போல் நன்றூக்கா தொன்றன் உடல்சுவை யுண்டார் மனம்,,,ஓர் உயிரின் உடம்பைச் சுவையாக உண்டவரின் மனம் கொலைக்கருவியைக் கையில் கொண்டவரின் நெஞ்சம் போல் நன்மையாகி அருளைப் போற்றாது.,VIRTUE,Ascetic Virtue,The Renunciation of Flesh,"The heart of one who has eaten and relished flesh, is like
 the heart of one leading an army: it cannot be compassionate.",,,"Like heart of them that murderous weapons bear, his mind,
 Who eats of savoury meat, no joy in good can find.
 Like the (murderous) mind of him who carries a weapon (in his hand), the mind of him who feasts with pleasure on the body of another (creature), has no regard for goodness."
254,அறத்துப்பால்,துறவறவியல்,புலால் மறுத்தல்,அருளல்ல தியாதெனிற் கொல்லாமை கோறல் பொருளல்ல தவ்வூன் தினல்,,,அருள் எது என்றால் ஓர் உயிரையும் கொல்லாமலிருத்தல் அருளல்லாது எது என்றால் உயிர்களைக்கொள்ளுதல் அதன் உடம்பைத் தின்னுதல் அறம் அல்லாதது.,VIRTUE,Ascetic Virtue,The Renunciation of Flesh,"What is compassion, and the lack of it : not killing and killing;
 it is not virtuous to eat meat got by killing.",,,"What's grace, or lack of grace'? 'To kill' is this, that 'not to kill';
 To eat dead flesh can never worthy end fulfil.
 If it be asked what is kindness and what its opposite, the answer would be preservation and destruction of life; and therefore it is not right to feed on the flesh (obtained by taking away life)."
